t,Ft0,E_Nt,lower,upper
500,498,486.18,473.002,499.357
1000,990,958.17,927.739,988.602
1500,1482,1439.61,1393.04,1486.18
2000,1970,1901.37,1840.98,1961.76
2500,2459,2373.03,2275.28,2470.78
3000,2945,2894.16,2829.81,2958.51
3500,3435,3343.39,3267.52,3419.27
4000,3914,3773.01,3661.33,3884.69
4500,4401,4231.3,4102.54,4360.06
5000,4884,4700.15,4551.18,4849.13
5500,5363,5182.6,5051.37,5313.83
6000,5841,5675.83,5497.72,5853.95
6500,6321,6129.35,5949.52,6309.18
7000,6799,6594.71,6372.51,6816.91
7500,7284,7140.04,6892.08,7388
8000,7762,7632.18,7393.54,7870.82
8500,8241,8111.31,7882.14,8340.48
9000,8728,8599.61,8388.26,8810.96
9500,9204,9057.55,8812.83,9302.28
10000,9690,9534.72,9295.1,9774.33
